name,price,dealer_fee,tax_rate,mileage,reliability,history
2014 XJRL Mesquite,26850,0,,46888,6,5
2018 XJL SC Houston,22900,0,,128722,6,5
2014 XJ SC Houston,17850,0,,87141,6,5
2011 XJL SC Pharr,14995,0,,75736,5,5
2014 XJRL Rosenberg,15950,0,,115650,6,5
2013 XJL Portfolio FtWorth,14999,0,,40254,6,5
2017 Chevy SS StoneMtn GA,30000,0,,100689,8,5
